date,startup,vertical,subvertical,city,investors,round,amount
2017-11-20,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,5.709
2017-11-21,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,2.7161475
2017-11-21,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,22.275
2017-11-21,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,3.3
2017-11-21,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,2.0625
2017-11-21,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,214.5
2017-11-21,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,0.0
2017-11-21,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,1650.0
2017-11-22,MiStay,Technology,Online Hotel Reservation Platform,Bangalore,Axilor Ventures,Seed/Angel Funding,0.0
2017-11-23,WittyFeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,0.0
2017-11-24,IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,82.5
2017-11-24,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,2.0625
2017-11-27,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,2227.5
2017-11-27,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,0.32175
2017-11-27,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,31.35
2017-11-28,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,107.25
2017-11-28,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,12.375
2017-11-28,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,11.1375
2017-11-28,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,16.5
2017-03-10,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0.0
2017-03-10,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,0.0
2017-03-10,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,907.5
2017-04-10,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,0.0
2017-04-10,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,2.5245
2017-04-10,PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,319.275
2017-05-10,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,8.25
2017-05-10,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,3.7125
2017-05-10,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,75.9
2017-06-10,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,25.575
2017-06-10,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,66.0
2017-06-10,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,82.5
2017-06-10,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,16.5
2017-09-10,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,0.0
2017-09-10,MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,22.275
2017-09-10,IBSFintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,0.0
2017-09-10,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,0.0
2017-09-10,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,2.772
2017-09-10,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,0.0
2017-10-10,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,11.55
2017-10-10,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,37.125
2017-11-10,Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,25.575
2017-11-10,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,9.075
2017-12-10,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,1.93875
2017-10-13,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,635.25
2017-10-13,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,2.0625
2017-10-13,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,16.5
2017-10-16,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,66.0
2017-10-16,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,75.9
2017-10-17,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,57.75
2017-10-18,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,57.75
2017-10-18,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,0.0
2017-10-18,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,63.525
2017-10-18,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,4.125
2017-10-23,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,57.75
2017-10-23,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,49.5
2017-10-23,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,25.575
2017-10-23,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,0.9735
2017-10-24,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,0.0
2017-10-24,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,4.125
2017-10-24,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,24.75
2017-10-24,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,5.9565
2017-10-24,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,0.0
2017-10-25,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0.0
2017-10-25,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,4.5375
2017-10-26,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,41.25
2017-10-27,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,31.35
2017-10-27,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0.0
2017-10-28,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,0.99
2017-10-28,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,63.525
2017-10-30,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,16.5
2017-10-31,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,115.5
2017-10-31,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,264.0
2017-01-09,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,8.25
2017-01-09,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,12.375
2017-01-09,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,10.725
2017-04-09,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,46.2
2017-05-09,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,12.375
2017-05-09,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,4.95
2017-06-09,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,88.6875
2017-06-09,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,82.5
2017-06-09,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,49.5
2017-06-09,Power2SME,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,214.5
2017-07-09,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,41.25
2017-07-09,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,Private Equity,0.0
2017-07-09,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,2062.5
2017-07-09,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,6.435
2017-07-09,MamaEarth,eCommerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Funding,0.0
2017-07-09,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,8.25
2017-08-09,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,56.925
2017-08-09,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0.0
2017-11-09,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,247.5
2017-11-09,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,51.15
2017-12-09,Sattviko,eCommerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0.0
2017-12-09,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,0.825
2017-12-09,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,140.25
2017-12-09,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,24.75
2017-09-13,WittyFeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0.0
2017-09-13,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",Private Equity,16.5
2017-09-13,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,82.5
2017-09-13,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,94.875
2017-09-13,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,6.435
2017-09-14,Gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0.0
2017-09-14,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,363.0
2017-09-14,WheelStreet,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding,0.99
2017-09-14,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0.0
2017-09-18,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,8.25
2017-09-19,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0.0
2017-09-19,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,412.5
2017-09-20,HWell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,Seed Funding,0.0
2017-09-21,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,49.5
2017-09-21,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge,Private Equity,0.0
2017-09-21,91SpringBoard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,0.0
2017-09-21,Homergize,eCommerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,8.25
2017-09-22,Yatra.com,eCommerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,127.05
2017-09-22,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bangalore,InnoVen Capital,Private Equity,0.0
2017-09-25,Vogo,Consumer Internet,Scooter Rental Platform,Bangalore,AV Thomas Group,Seed Funding,0.0
2017-09-25,Synup,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,49.5
2017-09-25,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,0.0
2017-09-25,Cropin,Technology,Crop Technology Solutions,Bangalore,Beenext,Private Equity,0.0
2017-09-25,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,3.4815
2017-09-25,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,1.2375
2017-09-26,Credifiable,Consumer Internet,Online consumer lending platform,Bangalore,Kae Capital,Private Equity,0.0
2017-09-26,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,0.0
2017-09-26,Multibhashi,Consumer Internet,Language learning Mobile App,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,0.0
2017-09-27,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,13.2
2017-09-27,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,0.0
2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,8.25
2017-09-27,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",Seed Funding,0.0
2017-09-27,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,2.475
2017-09-28,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,8.25
2017-01-08,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,10.725
2017-02-08,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,0.0
2017-02-08,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,0.0
2017-02-08,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,4.125
2017-02-08,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,7.0125
2017-03-08,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,2.475
2017-03-08,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Funding,0.0
2017-03-08,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,0.0
2017-03-08,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,0.0
2017-04-08,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,0.0
2017-04-08,CoutLoot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,0.0
2017-04-08,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,0.0
2017-05-08,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,0.0
2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,2.00475
2017-08-08,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,1.815
2017-09-08,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,25.575
2017-09-08,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,6.45975
2017-09-08,DoodhWala,Consumer Internet,Online milk delivery,Bangalore,Tom Varkey,Seed Funding,0.0
2017-10-08,Stayabode,Consumer Internet,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,0.0
2017-11-08,Flipkart,eCommerce,Online Marketplace,Bangalore,Softbank,Private Equity,20625.0
2017-11-08,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,0.0
2017-11-08,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,297.0
2017-08-14,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,0.0
2017-08-14,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,2.574
2017-08-15,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,3.17625
2017-08-17,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,0.0
2017-08-20,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,1.54275
2017-08-21,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,56.1
2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,6.0555
2017-08-22,Flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed Funding,0.0
2017-08-22,EasyGov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,0.0
2017-08-23,Milk Basket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,0.0
2017-08-23,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,660.0
2017-08-23,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,18.975
2017-08-23,Awign,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,0.0
2017-08-23,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,4.125
2017-08-24,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,132.0
2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,6.1875
2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,1.03125
2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,57.75
2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,206.25
2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,6.1875
2017-08-29,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,0.0
2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,280.5
2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,247.5
2017-01-07,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,8.25
2017-03-07,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,21.45
2017-04-07,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,165.0
2017-05-07,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,70.125
2017-05-07,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,99.0
2017-05-07,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,8.25
2017-06-07,Minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,0.0
2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,8.25
2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,0.0
2017-10-07,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,24.75
2017-11-07,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,18.5625
2017-11-07,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,3.828
2017-11-07,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,0.0
2017-12-07,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,152.625
2017-12-07,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,0.0
2017-12-07,Bottr.me,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,0.0
2017-12-07,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,0.0
2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,4.455
2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,14.025
2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,16.5
2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,33.0
2017-07-18,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,0.0
2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,0.0
2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,0.0
2017-07-18,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,0.0
2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,82.5
2017-07-19,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,Seed Funding,0.0
